url,quartier,surface,prix_annonce_m2,prix_marche_m2,ecart_m2,ecart_pct
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/immo-facile-58164082?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Beaulieu,59.0,4814.0,4032.36,781.64,19.38
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/century-21-202_2305_3492?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Valbertrand,67.0,2761.0,2356.7,404.3,17.16
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag832778-494276882?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,112.0,4455.0,4049.37,405.63,10.02
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-consult-23564?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Pont du Las,70.0,1843.0,3268.62,-1425.62,-43.62
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/dr-house-immo-1-3125718?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Aguillon,69.0,2464.0,2577.47,-113.47,-4.4
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1922695?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D10%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,75.0,2387.0,4865.17,-2478.17,-50.94
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-lessablettes-387882?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Aguillon,66.0,2745.0,2593.06,151.94,5.86
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-centreville-387846?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,130.0,3846.0,2280.06,1565.94,68.68
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/safti-1-1527566?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Porte d'Italie,70.0,4214.0,2032.69,2181.31,107.31
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/ag752647-488231873?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Bon Rencontre,54.0,3278.0,2184.08,1093.92,50.09
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/nestenn-1-99939309897?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Brunet,47.0,2277.0,3163.95,-886.95,-28.03
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/hektor-royalimmolavaletteduvar-27156?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Aguillon,78.0,2831.0,2524.45,306.55,12.14
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-1886928?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,48.0,2021.0,2607.48,-586.48,-22.49
https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/immo-facile-58906350?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Roch,67.0,2224.0,2429.22,-205.22,-8.45
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_2305_3412?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Bon Rencontre,56.0,2036.0,2155.6,-119.6,-5.55
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-1848610?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,40.0,3725.0,4317.71,-592.71,-13.73
https://www.bienici.com/annonce/vente/toulon/appartement/5pieces/hektor-gabrieleimmo-207?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,127.0,2906.0,2297.63,608.37,26.48
https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/netty-company51116skq-appt-1915?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Saint-Jean du Var,41.0,2195.0,5445.2,-3250.2,-59.69
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-grechimmo83000-110657?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D11%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,50.0,4145.0,2286.44,1858.56,81.29
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-2_GRECHTOULON2023-110657?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D12%26camera%3D8_4.5866739_43.1085545_0_0,Haute-ville,50.0,4145.0,2286.44,1858.56,81.29
https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/netty-company50574bxt-appt-2017?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fpage%3D12%26camera%3D8_4.5866739_43.1085545_0_0,Centre-ville,46.0,2826.0,4078.67,-1252.67,-30.71
